Application No,Token Fee 50k
HITSEEE/2020/BDES/213036,50000
HITSEEE/2020/BTECH/213013,50000
HITSEEE/2020/BARCH/212944,50000
HITSEEE/2020/BTECH/212897,50000
HITSEEE/2020/BTECH/212839,50000
HITSEEE/2020/BTECH/212818,50000
HITSEEE/2020/BTECH/212806,50000
HITSEEE/2020/BTECH/212791,50000
HITSEEE/2020/BTECH/212781,50000
HITSEEE/2020/BTECH/212773,50000
HITSEEE/2020/BTECH/212554,50000
HITSEEE/2020/BTECH/212545,50000
HITSEEE/2020/BTECH/212497,50000
HITSEEE/2020/BTECH/212431,50000
HITSEEE/2020/BTECH/212420,50000
HITSEEE/2020/BTECH/212408,50000
HITSEEE/2020/BTECH/212290,50000
HITSEEE/2020/BTECH/212238,50000
HITSEEE/2020/BTECH/212223,50000
HITSEEE/2020/BTECH/212220,50000
HITSEEE/2020/BTECH/212083,50000
HITSEEE/2020/BTECH/212031,50000
HITSEEE/2020/BTECH/212007,50000
HITSEEE/2020/BTECH/212006,50000
HITSEEE/2020/BTECH/211974,50000
HITSEEE/2020/BTECH/211885,50000
HITSEEE/2020/BTECH/211811,50000
HITSEEE/2020/BTECH/211791,50000
HITSEEE/2020/BTECH/211782,50000
HITSEEE/2020/BTECH/211722,50000
HITSEEE/2020/BTECH/211701,50000
HITSEEE/2020/BTECH/211651,50000
HITSEEE/2020/BTECH/211612,50000
HITSEEE/2020/BTECH/211605,50000
HITSEEE/2020/BTECH/211583,50000
HITSEEE/2020/BTECH/211493,50000
HITSEEE/2020/BARCH/211470,50000
HITSEEE/2020/BTECH/211431,50000
HITSEEE/2020/BTECH/211426,50000
HITSEEE/2020/BTECH/211381,50000
HITSEEE/2020/BTECH/211303,50000
HITSEEE/2020/BDES/211279,50000
HITSEEE/2020/BTECH/211238,50000
HITSEEE/2020/BTECH/211235,50000
HITSEEE/2020/BTECH/211219,50000
HITSEEE/2020/BTECH/211207,50000
HITSEEE/2020/BARCH/211141,50000
HITSEEE/2020/BDES/211093,50000
HITSEEE/2020/BDES/211076,50000
HITSEEE/2020/BTECH/211056,50000
HITSEEE/2020/BTECH/211034,50000
HITSEEE/2020/BTECH/210934,50000
HITSEEE/2020/BTECH/210933,50000
HITSEEE/2020/BTECH/210931,50000
HITSEEE/2020/BTECH/210905,50000
HITSEEE/2020/BTECH/210889,50000
HITSEEE/2020/BTECH/210834,50000
HITSEEE/2020/BTECH/210831,50000
HITSEEE/2020/BTECH/210824,50000
HITSEEE/2020/BTECH/210822,50000
HITSEEE/2020/BTECH/210796,50000
HITSEEE/2020/BTECH/210784,50000
HITSEEE/2020/BTECH/210764,50000
HITSEEE/2020/BTECH/210713,50000
HITSEEE/2020/BTECH/210701,50000
HITSEEE/2020/BTECH/210684,50000
HITSEEE/2020/BTECH/210605,50000
HITSEEE/2020/BTECH/210554,50000
HITSEEE/2020/BTECH/210525,50000
HITSEEE/2020/BTECH/210476,50000
HITSEEE/2020/BTECH/210400,50000
HITSEEE/2020/BTECH/210307,50000
HITSEEE/2020/BTECH/210283,50000
HITSEEE/2020/BTECH/210213,50000
HITSEEE/2020/BTECH/210195,50000
HITSEEE/2020/BTECH/210058,50000
HITSEEE/2020/BTECH/210052,50000
HITSEEE/2020/BTECH/209969,50000
HITSEEE/2020/BTECH/209959,50000
HITSEEE/2020/BTECH/209952,50000
HITSEEE/2020/BTECH/209907,50000
HITSEEE/2020/BTECH/209881,50000
HITSEEE/2020/BTECH/209873,50000
HITSEEE/2020/BTECH/209870,50000
HITSEEE/2020/BTECH/209835,50000
HITSEEE/2020/BTECH/209821,50000
HITSEEE/2020/BTECH/209806,50000
HITSEEE/2020/BTECH/209725,50000
HITSEEE/2020/BDES/209704,50000
HITSEEE/2020/BTECH/209681,50000
HITSEEE/2020/BTECH/209636,50000
HITSEEE/2020/BTECH/209616,50000
HITSEEE/2020/BTECH/209502,50000
HITSEEE/2020/BTECH/209478,50000
HITSEEE/2020/BTECH/209442,50000
HITSEEE/2020/BTECH/209219,50000
HITSEEE/2020/BTECH/209207,50000
HITSEEE/2020/BTECH/209160,50000
HITSEEE/2020/BARCH/209155,50000
HITSEEE/2020/BARCH/208960,50000
HITSEEE/2020/BARCH/208904,50000
HITSEEE/2020/BTECH/208884,50000
HITSEEE/2020/BTECH/208883,50000
HITSEEE/2020/BTECH/208847,50000
HITSEEE/2020/BDES/208813,50000
HITSEEE/2020/BTECH/208735,50000
HITSEEE/2020/BTECH/208722,50000
HITSEEE/2020/BTECH/208718,50000
HITSEEE/2020/BTECH/208539,50000
HITSEEE/2020/BTECH/208524,50000
HITSEEE/2020/BTECH/208461,50000
HITSEEE/2020/BTECH/208424,50000
HITSEEE/2020/BTECH/208357,50000
HITSEEE/2020/BTECH/208281,50000
HITSEEE/2020/BARCH/208275,50000
HITSEEE/2020/BTECH/208271,50000
HITSEEE/2020/BTECH/208266,50000
HITSEEE/2020/BARCH/208228,50000
HITSEEE/2020/BTECH/208192,50000
HITSEEE/2020/BTECH/208176,50000
HITSEEE/2020/BTECH/208161,50000
HITSEEE/2020/BTECH/208034,50000
HITSEEE/2020/BTECH/207978,50000
HITSEEE/2020/BTECH/207870,50000
HITSEEE/2020/BARCH/207840,50000
HITSEEE/2020/BTECH/207820,50000
HITSEEE/2020/BARCH/207810,50000
HITSEEE/2020/BTECH/207780,50000
HITSEEE/2020/BTECH/207758,50000
HITSEEE/2020/BTECH/207744,50000
HITSEEE/2020/BTECH/207690,50000
HITSEEE/2020/BTECH/207687,50000
HITSEEE/2020/BTECH/207622,50000
HITSEEE/2020/BTECH/207613,50000
HITSEEE/2020/BTECH/207584,50000
HITSEEE/2020/BTECH/207553,50000
HITSEEE/2020/BARCH/207551,50000
HITSEEE/2020/BTECH/207519,50000
HITSEEE/2020/BTECH/207489,50000
HITSEEE/2020/BTECH/207471,50000
HITSEEE/2020/BTECH/207427,50000
HITSEEE/2020/BARCH/207237,50000
HITSEEE/2020/BTECH/207189,50000
HITSEEE/2020/BTECH/207137,50000
HITSEEE/2020/BDES/207119,50000
HITSEEE/2020/BTECH/207079,50000
HITSEEE/2020/BTECH/207068,50000
HITSEEE/2020/BTECH/207063,50000
HITSEEE/2020/BTECH/207055,50000
HITSEEE/2020/BTECH/207045,50000
HITSEEE/2020/BTECH/207038,50000
HITSEEE/2020/BTECH/207007,50000
HITSEEE/2020/BTECH/206995,50000
HITSEEE/2020/BTECH/206960,50000
HITSEEE/2020/BTECH/206932,50000
HITSEEE/2020/BTECH/206848,50000
HITSEEE/2020/BTECH/206830,50000
HITSEEE/2020/BTECH/206800,50000
HITSEEE/2020/BTECH/206797,50000
HITSEEE/2020/BTECH/206717,50000
HITSEEE/2020/BTECH/206573,50000
HITSEEE/2020/BARCH/206539,50000
HITSEEE/2020/BTECH/206538,50000
HITSEEE/2020/BDES/206509,50000
HITSEEE/2020/BDES/206374,50000
HITSEEE/2020/BTECH/206373,50000
HITSEEE/2020/BTECH/206350,50000
HITSEEE/2020/BTECH/206319,50000
HITSEEE/2020/BTECH/206310,50000
HITSEEE/2020/BTECH/206296,50000
HITSEEE/2020/BTECH/206280,50000
HITSEEE/2020/BTECH/206278,50000
HITSEEE/2020/BTECH/206215,50000
HITSEEE/2020/BTECH/206195,50000
HITSEEE/2020/BTECH/206192,50000
HITSEEE/2020/BTECH/206170,50000
HITSEEE/2020/BTECH/206169,50000
HITSEEE/2020/BTECH/205982,50000
HITSEEE/2020/BTECH/205973,50000
HITSEEE/2020/BDES/205956,50000
HITSEEE/2020/BTECH/205953,50000
HITSEEE/2020/BTECH/205931,50000
HITSEEE/2020/BTECH/205875,50000
HITSEEE/2020/BTECH/205826,50000
HITSEEE/2020/BTECH/205721,50000
HITSEEE/2020/BTECH/205653,50000
HITSEEE/2020/BTECH/205647,50000
HITSEEE/2020/BTECH/205581,50000
HITSEEE/2020/BTECH/205458,50000
HITSEEE/2020/BTECH/205331,50000
HITSEEE/2020/BTECH/205317,50000
HITSEEE/2020/BTECH/205304,50000
HITSEEE/2020/BTECH/205297,50000
HITSEEE/2020/BTECH/205296,50000
HITSEEE/2020/BTECH/205294,50000
HITSEEE/2020/BTECH/205200,50000
HITSEEE/2020/BTECH/205189,50000
HITSEEE/2020/BTECH/205139,50000
HITSEEE/2020/BTECH/205129,50000
HITSEEE/2020/BTECH/205083,50000
HITSEEE/2020/BTECH/205066,50000
HITSEEE/2020/BTECH/205044,50000
HITSEEE/2020/BTECH/204911,50000
HITSEEE/2020/BTECH/204890,50000
HITSEEE/2020/BTECH/204847,50000
HITSEEE/2020/BTECH/204835,50000
HITSEEE/2020/BTECH/204796,50000
HITSEEE/2020/BTECH/204786,50000
HITSEEE/2020/BTECH/204769,50000
HITSEEE/2020/BTECH/204746,50000
HITSEEE/2020/BARCH/204705,50000
HITSEEE/2020/BTECH/204649,50000
HITSEEE/2020/BTECH/204634,50000
HITSEEE/2020/BARCH/204611,50000
HITSEEE/2020/BTECH/204591,50000
HITSEEE/2020/BTECH/204528,50000
HITSEEE/2020/BTECH/204512,50000
HITSEEE/2020/BARCH/204386,50000
HITSEEE/2020/BTECH/204314,50000
HITSEEE/2020/BTECH/204225,50000
HITSEEE/2020/BTECH/204157,50000
HITSEEE/2020/BTECH/204147,50000
HITSEEE/2020/BTECH/204128,50000
HITSEEE/2020/BTECH/204108,50000
HITSEEE/2020/BTECH/204056,50000
HITSEEE/2020/BTECH/204043,50000
HITSEEE/2020/BTECH/204032,50000
HITSEEE/2020/BTECH/204026,50000
HITSEEE/2020/BTECH/204019,50000
HITSEEE/2020/BTECH/204017,50000
HITSEEE/2020/BTECH/203935,50000
HITSEEE/2020/BTECH/203878,50000
HITSEEE/2020/BTECH/203852,50000
HITSEEE/2020/BTECH/203851,50000
HITSEEE/2020/BTECH/203844,50000
HITSEEE/2020/BARCH/203807,50000
HITSEEE/2020/BTECH/203791,50000
HITSEEE/2020/BTECH/203760,50000
HITSEEE/2020/BTECH/203728,50000
HITSEEE/2020/BTECH/203723,50000
