Application No,Token Fee
HITS/2020/B.SC/204422,50000
HITS/2020/BA/204418,50000
HITS/2020/B.COM/204416,50000
HITS/2020/BBA/204414,50000
HITS/2020/B.COM/204403,50000
HITS/2020/BBA/204395,50000
HITS/2020/B.COM/204393,50000
HITS/2020/BBA/204392,50000
HITS/2020/BA/204388,50000
HITS/2020/BA/204385,50000
HITS/2020/B.SC/204384,50000
HITS/2020/BBA/204383,50000
HITS/2020/B.COM/204381,50000
HITS/2020/B.COM/204380,50000
HITS/2020/B.SC/204378,50000
HITS/2020/B.SC/204376,50000
HITS/2020/B.SC/204370,50000
HITS/2020/B.COM/204369,50000
HITS/2020/BA/204367,50000
HITS/2020/BCA/204361,50000
HITS/2020/BBA/204357,50000
HITS/2020/B.SC/204353,50000
HITS/2020/B.SC/204352,50000
HITS/2020/BA/204346,50000
HITS/2020/BBA/204345,50000
HITS/2020/BBA/204338,50000
HITS/2020/B.SC/204337,50000
HITS/2020/BCA/204327,50000
HITS/2020/B.SC/204311,50000
HITS/2020/BBA/204310,50000
HITS/2020/BBA/204309,50000
HITS/2020/B.SC/204307,50000
HITS/2020/BA/204298,50000
HITS/2020/BBA/204296,50000
HITS/2020/BBA/204295,50000
HITS/2020/BA/204292,50000
HITS/2020/BCA/204289,50000
HITS/2020/BA/204284,50000
HITS/2020/BBA/204283,50000
HITS/2020/BCA/204282,50000
HITS/2020/B.SC/204278,50000
HITS/2020/B.SC/204275,50000
HITS/2020/BA/204264,50000
HITS/2020/BA/204263,50000
HITS/2020/BA/204257,50000
HITS/2020/B.M.S/204256,50000
HITS/2020/BBA/204253,50000
HITS/2020/BCA/204246,50000
HITS/2020/B.SC/204244,50000
HITS/2020/B.SC/204239,50000
HITS/2020/BCA/204238,50000
HITS/2020/BA/204236,50000
HITS/2020/BCA/204235,50000
HITS/2020/BA/204225,50000
HITS/2020/B.SC/204224,50000
HITS/2020/B.COM/204220,50000
HITS/2020/BA/204218,50000
HITS/2020/BCA/204217,50000
HITS/2020/BBA/204201,50000
HITS/2020/B.SC/204196,50000
HITS/2020/B.SC/204195,50000
HITS/2020/B.SC/204188,50000
HITS/2020/BBA/204169,50000
HITS/2020/BA/204163,50000
HITS/2020/BA/204154,50000
HITS/2020/BA/204150,50000
HITS/2020/BBA/204149,50000
HITS/2020/BA/204147,50000
HITS/2020/BA/204142,50000
HITS/2020/BCA/204133,50000
HITS/2020/BBA/204126,50000
HITS/2020/B.COM/204121,50000
HITS/2020/BBA/204120,50000
HITS/2020/BBA/204109,50000
HITS/2020/BCA/204106,50000
HITS/2020/BA/204100,50000
HITS/2020/B.SC/204065,50000
HITS/2020/B.SC/204062,50000
HITS/2020/BCA/204055,50000
HITS/2020/B.SC/204040,50000
HITS/2020/BA/204033,50000
HITS/2020/B.SC/204032,50000
HITS/2020/BCA/204018,50000
HITS/2020/BA/204017,50000
HITS/2020/BBA/204011,50000
HITS/2020/BCA/204009,50000
HITS/2020/B.COM/204004,50000
HITS/2020/BCA/204001,50000
HITS/2020/B.COM/203997,50000
HITS/2020/BCA/203990,50000
HITS/2020/B.COM/203989,50000
HITS/2020/B.SC/203986,50000
HITS/2020/B.SC/203963,50000
HITS/2020/B.COM/203960,50000
HITS/2020/BA/203913,50000
HITS/2020/B.COM/203901,50000
HITS/2020/BBA/203877,50000
HITS/2020/BCA/203858,50000
HITS/2020/BBA/203851,50000
HITS/2020/B.COM/203816,50000
HITS/2020/B.SC/203814,50000
HITS/2020/B.COM/203799,50000
HITS/2020/B.COM/203797,50000
HITS/2020/BBA/203780,50000
HITS/2020/BA/203760,50000
HITS/2020/B.COM/203755,50000
HITS/2020/BA/203743,50000
HITS/2020/BCA/203740,50000
HITS/2020/B.SC/203734,50000
HITS/2020/B.SC/203728,50000
HITS/2020/BA/203726,50000
HITS/2020/BCA/203725,50000
HITS/2020/B.SC/203722,50000
HITS/2020/BBA/203710,50000
HITS/2020/B.SC/203709,50000
HITS/2020/BBA/203708,50000
HITS/2020/BA/203707,50000
HITS/2020/BBA/203699,50000
HITS/2020/B.COM/203697,50000
HITS/2020/BA/203696,50000
HITS/2020/BCA/203695,50000
HITS/2020/B.SC/203685,50000
HITS/2020/B.COM/203680,50000
HITS/2020/BA/203679,50000
HITS/2020/BCA/203678,50000
HITS/2020/B.COM/203674,50000
HITS/2020/BCA/203673,50000
HITS/2020/B.SC/203670,50000
HITS/2020/B.SC/203662,50000
HITS/2020/B.COM/203658,50000
HITS/2020/BCA/203651,50000
HITS/2020/BCA/203650,50000
HITS/2020/BA/203649,50000
HITS/2020/B.COM/203646,50000
HITS/2020/BBA/203645,50000
HITS/2020/BCA/203643,50000
HITS/2020/B.COM/203641,50000
HITS/2020/B.SC/203638,50000
HITS/2020/B.SC/203631,50000
HITS/2020/B.SC/203628,50000
HITS/2020/B.SC/203626,50000
HITS/2020/BA/203622,50000
HITS/2020/B.COM/203620,50000
HITS/2020/BA/203617,50000
HITS/2020/BCA/203614,50000
HITS/2020/B.SC/203608,50000
HITS/2020/BCA/203605,50000
HITS/2020/B.SC/203597,50000
HITS/2020/B.COM/203594,50000
HITS/2020/BCA/203591,50000
HITS/2020/B.SC/203590,50000
HITS/2020/BBA/203587,50000
HITS/2020/B.SC/203582,50000
HITS/2020/BA/203579,50000
HITS/2020/BBA/203572,50000
HITS/2020/B.COM/203569,50000
HITS/2020/BA/203563,50000
HITS/2020/BA/203561,50000
HITS/2020/BA/203558,50000
HITS/2020/BBA/203555,50000
HITS/2020/B.SC/203553,50000
HITS/2020/B.SC/203552,50000
HITS/2020/B.COM/203551,50000
HITS/2020/BA/203543,50000
HITS/2020/BBA/203542,50000
HITS/2020/BCA/203540,50000
HITS/2020/BCA/203538,50000
HITS/2020/B.SC/203533,50000
HITS/2020/BCA/203530,50000
HITS/2020/BCA/203528,50000
HITS/2020/B.COM/203523,50000
HITS/2020/B.SC/203521,50000
HITS/2020/B.SC/203503,50000
HITS/2020/BA/203501,50000
HITS/2020/B.SC/203497,50000
HITS/2020/B.COM/203496,50000
HITS/2020/BA/203492,50000
HITS/2020/BA/203486,50000
HITS/2020/BCA/203478,50000
HITS/2020/B.SC/203477,50000
HITS/2020/BCA/203476,50000
HITS/2020/BBA/203475,50000
HITS/2020/BBA/203474,50000
HITS/2020/BBA/203473,50000
HITS/2020/BA/203472,50000
HITS/2020/B.SC/203467,50000
HITS/2020/B.SC/203465,50000
HITS/2020/B.COM/203462,50000
HITS/2020/B.SC/203460,50000
HITS/2020/BA/203455,50000
HITS/2020/B.SC/203450,50000
HITS/2020/BA/203449,50000
HITS/2020/B.SC/203444,50000
HITS/2020/B.COM/203443,50000
HITS/2020/B.SC/203441,50000
HITS/2020/B.SC/203437,50000
HITS/2020/B.SC/203436,50000
HITS/2020/B.COM/203421,50000
HITS/2020/BBA/203420,50000
HITS/2020/BCA/203419,50000
HITS/2020/B.SC/203417,50000
HITS/2020/BA/203410,50000
HITS/2020/BCA/203409,50000
HITS/2020/B.SC/203407,50000
HITS/2020/B.SC/203404,50000
HITS/2020/B.SC/203397,50000
HITS/2020/BA/203396,50000
HITS/2020/BCA/203395,50000
HITS/2020/B.SC/203393,50000
HITS/2020/BA/203391,50000
HITS/2020/BA/203390,50000
HITS/2020/B.COM/203388,50000
HITS/2020/BBA/203387,50000
HITS/2020/B.SC/203386,50000
HITS/2020/BA/203382,50000
HITS/2020/B.SC/203381,50000
HITS/2020/BBA/203380,50000
HITS/2020/BBA/203378,50000
HITS/2020/B.SC/203375,50000
HITS/2020/BA/203374,50000
HITS/2020/B.COM/203369,50000
HITS/2020/BBA/203364,50000
HITS/2020/B.SC/203363,50000
HITS/2020/BBA/203361,50000
HITS/2020/BCA/203356,50000
HITS/2020/BA/203355,50000
HITS/2020/BBA/203354,50000
HITS/2020/BA/203353,50000
HITS/2020/BA/203351,50000
HITS/2020/B.SC/203347,50000
HITS/2020/B.COM/203346,50000
HITS/2020/BBA/203345,50000
HITS/2020/B.SC/203344,50000
HITS/2020/BA/203343,50000
HITS/2020/BCA/203336,50000
HITS/2020/B.SC/203333,50000
HITS/2020/BBA/203331,50000
HITS/2020/BCA/203330,50000
HITS/2020/BCA/203326,50000
HITS/2020/BBA/203324,50000
HITS/2020/B.SC/203321,50000
HITS/2020/BBA/203318,50000
HITS/2020/B.COM/203317,50000
HITS/2020/B.COM/203316,50000
HITS/2020/B.SC/203314,50000
HITS/2020/B.COM/203306,50000
HITS/2020/B.SC/203304,50000
HITS/2020/B.COM/203302,50000
HITS/2020/BBA/203299,50000
HITS/2020/BA/203294,50000
HITS/2020/BBA/203293,50000
HITS/2020/B.COM/203282,50000
HITS/2020/B.SC/203279,50000
HITS/2020/BCA/203272,50000
HITS/2020/B.SC/203269,50000
HITS/2020/BBA/203267,50000
HITS/2020/BBA/203258,50000
HITS/2020/B.SC/203257,50000
HITS/2020/B.COM/203241,50000
